word,ME_OLS,word,ME_OLS
susan,0.7682253599653796,\xc2\xa6,-2.8142644091119093
she'd,0.7667971687448782,bro,-0.22372950741725944
jane,0.764464716305996,parag,-0.22290270856481326
jessica,0.7638788692967773,walters,-0.22288120652893414
girlfriends,0.7614214158992773,falsification,-0.2228263580585624
amy,0.7590201873609205,model's,-0.22278486904884606
ladies,0.7565683206282756,acquiring,-0.22278264685933155
athey,0.7542702877986622,troika,-0.2227744992103732
jennifer,0.7524535373895964,sje,-0.22277005528939658
broette,0.7506812231763654,\xe2\x88\x9e,-0.22276783339539336
