="All Regression Results for Simplified Replication"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="ln_r MCAP",="ln_r STRADE",="ln_r DC",="bal MCAP",="bal STRADE",="bal DC",="bal LLY",="bal MINORITY",="bal CREDITOR",="bal ACSTAN",="bal Controls",="bal + KAPW1"

="finint_mcap",="-3.906",="",="",="6.870*",="",="",="",="",="",="",="6.804",="7.171*"
="",="(6.708)",="",="",="(3.642)",="",="",="",="",="",="",="(4.561)",="(3.702)"

="finint_strade",="",="-1.592",="",="",="0.949",="",="",="",="",="",="",=""
="",="",="(1.809)",="",="",="(1.050)",="",="",="",="",="",="",=""

="finint_dc",="",="",="0.004",="",="",="-0.537",="",="",="",="",="",=""
="",="",="",="(0.553)",="",="",="(0.308)",="",="",="",="",="",=""

="finint_lly",="",="",="",="",="",="",="1.241*",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.630)",="",="",="",="",=""

="finint_minority",="",="",="",="",="",="",="",="0.164",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.196)",="",="",="",=""

="finint_creditor",="",="",="",="",="",="",="",="",="0.102",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.237)",="",="",=""

="finint_acstan",="",="",="",="",="",="",="",="",="",="0.037",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.030)",="",=""

="finint_secsch",="",="",="",="",="",="",="",="",="",="",="-0.022",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.167)",=""

="finint_agrilw",="",="",="",="",="",="",="",="",="",="",="0.732",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.577)",=""

="finint_rwoodew",="",="",="",="",="",="",="",="",="",="",="-0.075",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.216)",=""

="cap_kapw1",="",="",="",="",="",="",="",="",="",="",="",="-0.050"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.061)"

="Constant",="5.334",="1.961",="0.034",="-8.186",="0.002",="1.404***",="-0.370",="1.060***",="1.137***",="0.416",="-8.110",="-8.402"
="",="(9.146)",="(2.221)",="(0.266)",="(4.968)",="(1.313)",="(0.135)",="(0.794)",="(0.170)",="(0.140)",="(0.618)",="(5.977)",="(5.032)"

="Observations",="8",="8",="6",="16",="17",="14",="16",="17",="17",="17",="16",="16"
="r2",="0.053",="0.114",="0.000",="0.203",="0.052",="0.202",="0.217",="0.045",="0.012",="0.095",="0.312",="0.243"

="ln_r models (col1-3): small N=6-8 due to cleaning. Balassa models (bal1+): N=14-17. FININT=0.3. OLS."
="* p<0.10, ** p<0.05, *** p<0.01"
